date,time,origin,destination,ridership,line_tag,day_type,Line,Arrival1,Station1,Arrival2,Station2,Arrival3,Station3,Arrival4,Station4,Arrival5,Station5,Arrival6,Station6,Arrival7,Station7,Arrival8,Station8,Arrival9,Station9,Arrival10,Station10,Arrival11,Station11,Arrival12,Station12,Arrival13,Station13,Arrival14,Station14,Arrival15,Station15,Arrival16,Station16,Arrival17,Station17,total_stations_visited
2/1/2025,1/1/1900 6:00,Tampin,Batu Caves,1,Tampin-Batu Caves,Weekday,Tampin-Batu Caves,1/1/1900 6:00,Tampin,6:05,Seremban,6:10,Batang Benar,6:15,Nilai,6:20,Bangi,6:25,Kajang,6:30,Serdang,6:35,Bandar Tasik Selatan,6:40,Mid Valley,6:45,Sentul,6:50,Bank Negara,6:55,Abdullah Hukum,7:00,KL Sentral,7:05,Batu Kentonmen,7:10,Kepong,7:15,Taman Wahyu,7:20,Batu Caves,17
2/1/2025,1/1/1900 7:00,Tampin,Batu Caves,1,Tampin-Batu Caves,Weekday,Tampin-Batu Caves,1/1/1900 7:00,Tampin,7:05,Seremban,7:10,Batang Benar,7:15,Nilai,7:20,Bangi,7:25,Kajang,7:30,Serdang,7:35,Bandar Tasik Selatan,7:40,Mid Valley,7:45,Sentul,7:50,Bank Negara,7:55,Abdullah Hukum,8:00,KL Sentral,8:05,Batu Kentonmen,8:10,Kepong,8:15,Taman Wahyu,8:20,Batu Caves,17
2/1/2025,1/1/1900 8:00,Pelabuhan Klang,Tanjong Malim,1,Pelabuhan Klang-Tanjong Malim,Weekday,Pelabuhan Klang-Tanjong Malim,1/1/1900 8:00,Pelabuhan Klang,8:05,Kampung Baru,8:10,Kampung Batu,8:15,Putra,8:20,Bank Negara,8:25,Kuala Lumpur,8:30,KL Sentral,8:35,Kepong Sentral,8:40,Sungai Buloh,8:45,Kuang,8:50,Rawang,8:55,Kuala Kubu Bharu,9:00,Tanjung Malim,,,,,,,,,13
2/1/2025,1/1/1900 9:00,Tampin,Batu Caves,1,Tampin-Batu Caves,Weekday,Tampin-Batu Caves,1/1/1900 9:00,Tampin,9:05,Seremban,9:10,Batang Benar,9:15,Nilai,9:20,Bangi,9:25,Kajang,9:30,Serdang,9:35,Bandar Tasik Selatan,9:40,Mid Valley,9:45,Sentul,9:50,Bank Negara,9:55,Abdullah Hukum,10:00,KL Sentral,10:05,Batu Kentonmen,10:10,Kepong,10:15,Taman Wahyu,10:20,Batu Caves,17
2/1/2025,1/1/1900 10:00,Batu Caves,Tampin,1,Batu Caves-Tampin,Weekday,Batu Caves-Tampin,1/1/1900 10:00,Batu Caves,10:05,Taman Wahyu,10:10,Kepong,10:15,Batu Kentonmen,10:20,KL Sentral,10:25,Abdullah Hukum,10:30,Bank Negara,10:35,Sentul,10:40,Mid Valley,10:45,Bandar Tasik Selatan,10:50,Serdang,10:55,Kajang,11:00,Bangi,11:05,Nilai,11:10,Batang Benar,11:15,Seremban,11:20,Tampin,17
2/1/2025,1/1/1900 14:00,Pelabuhan Klang,Tanjong Malim,1,Pelabuhan Klang-Tanjong Malim,Weekday,Pelabuhan Klang-Tanjong Malim,1/1/1900 14:00,Pelabuhan Klang,14:05,Kampung Baru,14:10,Kampung Batu,14:15,Putra,14:20,Bank Negara,14:25,Kuala Lumpur,14:30,KL Sentral,14:35,Kepong Sentral,14:40,Sungai Buloh,14:45,Kuang,14:50,Rawang,14:55,Kuala Kubu Bharu,15:00,Tanjung Malim,,,,,,,,,13
2/1/2025,1/1/1900 15:00,Pelabuhan Klang,Tanjong Malim,1,Pelabuhan Klang-Tanjong Malim,Weekday,Pelabuhan Klang-Tanjong Malim,1/1/1900 15:00,Pelabuhan Klang,15:05,Kampung Baru,15:10,Kampung Batu,15:15,Putra,15:20,Bank Negara,15:25,Kuala Lumpur,15:30,KL Sentral,15:35,Kepong Sentral,15:40,Sungai Buloh,15:45,Kuang,15:50,Rawang,15:55,Kuala Kubu Bharu,16:00,Tanjung Malim,,,,,,,,,13
2/1/2025,1/1/1900 16:00,Tanjong Malim,Pelabuhan Klang,1,Tanjong Malim-Pelabuhan Klang,Weekday,Tanjong Malim-Pelabuhan Klang,1/1/1900 16:00,Tanjung Malim,16:05,Kuala Kubu Bharu,16:10,Rawang,16:15,Kuang,16:20,Sungai Buloh,16:25,Kepong Sentral,16:30,KL Sentral,16:35,Kuala Lumpur,16:40,Bank Negara,16:45,Putra,16:50,Kampung Batu,16:55,Kampung Baru,17:00,Pelabuhan Klang,,,,,,,,,13
2/1/2025,1/1/1900 18:00,Pelabuhan Klang,Tanjong Malim,2,Pelabuhan Klang-Tanjong Malim,Weekday,Pelabuhan Klang-Tanjong Malim,1/1/1900 18:00,Pelabuhan Klang,18:05,Kampung Baru,18:10,Kampung Batu,18:15,Putra,18:20,Bank Negara,18:25,Kuala Lumpur,18:30,KL Sentral,18:35,Kepong Sentral,18:40,Sungai Buloh,18:45,Kuang,18:50,Rawang,18:55,Kuala Kubu Bharu,19:00,Tanjung Malim,,,,,,,,,13
2/1/2025,1/1/1900 21:00,Tanjong Malim,Pelabuhan Klang,1,Tanjong Malim-Pelabuhan Klang,Weekday,Tanjong Malim-Pelabuhan Klang,1/1/1900 21:00,Tanjung Malim,21:05,Kuala Kubu Bharu,21:10,Rawang,21:15,Kuang,21:20,Sungai Buloh,21:25,Kepong Sentral,21:30,KL Sentral,21:35,Kuala Lumpur,21:40,Bank Negara,21:45,Putra,21:50,Kampung Batu,21:55,Kampung Baru,22:00,Pelabuhan Klang,,,,,,,,,13
3/1/2025,1/1/1900 6:00,Batu Caves,Tampin,1,Batu Caves-Tampin,Weekday,Batu Caves-Tampin,1/1/1900 6:00,Batu Caves,6:05,Taman Wahyu,6:10,Kepong,6:15,Batu Kentonmen,6:20,KL Sentral,6:25,Abdullah Hukum,6:30,Bank Negara,6:35,Sentul,6:40,Mid Valley,6:45,Bandar Tasik Selatan,6:50,Serdang,6:55,Kajang,7:00,Bangi,7:05,Nilai,7:10,Batang Benar,7:15,Seremban,7:20,Tampin,17
3/1/2025,1/1/1900 9:00,Tampin,Batu Caves,1,Tampin-Batu Caves,Weekday,Tampin-Batu Caves,1/1/1900 9:00,Tampin,9:05,Seremban,9:10,Batang Benar,9:15,Nilai,9:20,Bangi,9:25,Kajang,9:30,Serdang,9:35,Bandar Tasik Selatan,9:40,Mid Valley,9:45,Sentul,9:50,Bank Negara,9:55,Abdullah Hukum,10:00,KL Sentral,10:05,Batu Kentonmen,10:10,Kepong,10:15,Taman Wahyu,10:20,Batu Caves,17
3/1/2025,1/1/1900 10:00,Tampin,Batu Caves,1,Tampin-Batu Caves,Weekday,Tampin-Batu Caves,1/1/1900 10:00,Tampin,10:05,Seremban,10:10,Batang Benar,10:15,Nilai,10:20,Bangi,10:25,Kajang,10:30,Serdang,10:35,Bandar Tasik Selatan,10:40,Mid Valley,10:45,Sentul,10:50,Bank Negara,10:55,Abdullah Hukum,11:00,KL Sentral,11:05,Batu Kentonmen,11:10,Kepong,11:15,Taman Wahyu,11:20,Batu Caves,17
3/1/2025,1/1/1900 13:00,Batu Caves,Tampin,1,Batu Caves-Tampin,Weekday,Batu Caves-Tampin,1/1/1900 13:00,Batu Caves,13:05,Taman Wahyu,13:10,Kepong,13:15,Batu Kentonmen,13:20,KL Sentral,13:25,Abdullah Hukum,13:30,Bank Negara,13:35,Sentul,13:40,Mid Valley,13:45,Bandar Tasik Selatan,13:50,Serdang,13:55,Kajang,14:00,Bangi,14:05,Nilai,14:10,Batang Benar,14:15,Seremban,14:20,Tampin,17
3/1/2025,1/1/1900 13:00,Tanjong Malim,Pelabuhan Klang,1,Tanjong Malim-Pelabuhan Klang,Weekday,Tanjong Malim-Pelabuhan Klang,1/1/1900 13:00,Tanjung Malim,13:05,Kuala Kubu Bharu,13:10,Rawang,13:15,Kuang,13:20,Sungai Buloh,13:25,Kepong Sentral,13:30,KL Sentral,13:35,Kuala Lumpur,13:40,Bank Negara,13:45,Putra,13:50,Kampung Batu,13:55,Kampung Baru,14:00,Pelabuhan Klang,,,,,,,,,13
3/1/2025,1/1/1900 15:00,Batu Caves,Tampin,1,Batu Caves-Tampin,Weekday,Batu Caves-Tampin,1/1/1900 15:00,Batu Caves,15:05,Taman Wahyu,15:10,Kepong,15:15,Batu Kentonmen,15:20,KL Sentral,15:25,Abdullah Hukum,15:30,Bank Negara,15:35,Sentul,15:40,Mid Valley,15:45,Bandar Tasik Selatan,15:50,Serdang,15:55,Kajang,16:00,Bangi,16:05,Nilai,16:10,Batang Benar,16:15,Seremban,16:20,Tampin,17
3/1/2025,1/1/1900 15:00,Tanjong Malim,Pelabuhan Klang,1,Tanjong Malim-Pelabuhan Klang,Weekday,Tanjong Malim-Pelabuhan Klang,1/1/1900 15:00,Tanjung Malim,15:05,Kuala Kubu Bharu,15:10,Rawang,15:15,Kuang,15:20,Sungai Buloh,15:25,Kepong Sentral,15:30,KL Sentral,15:35,Kuala Lumpur,15:40,Bank Negara,15:45,Putra,15:50,Kampung Batu,15:55,Kampung Baru,16:00,Pelabuhan Klang,,,,,,,,,13
3/1/2025,1/1/1900 16:00,Batu Caves,Tampin,2,Batu Caves-Tampin,Weekday,Batu Caves-Tampin,1/1/1900 16:00,Batu Caves,16:05,Taman Wahyu,16:10,Kepong,16:15,Batu Kentonmen,16:20,KL Sentral,16:25,Abdullah Hukum,16:30,Bank Negara,16:35,Sentul,16:40,Mid Valley,16:45,Bandar Tasik Selatan,16:50,Serdang,16:55,Kajang,17:00,Bangi,17:05,Nilai,17:10,Batang Benar,17:15,Seremban,17:20,Tampin,17
3/1/2025,1/1/1900 17:00,Batu Caves,Tampin,3,Batu Caves-Tampin,Weekday,Batu Caves-Tampin,1/1/1900 17:00,Batu Caves,17:05,Taman Wahyu,17:10,Kepong,17:15,Batu Kentonmen,17:20,KL Sentral,17:25,Abdullah Hukum,17:30,Bank Negara,17:35,Sentul,17:40,Mid Valley,17:45,Bandar Tasik Selatan,17:50,Serdang,17:55,Kajang,18:00,Bangi,18:05,Nilai,18:10,Batang Benar,18:15,Seremban,18:20,Tampin,17
3/1/2025,1/1/1900 19:00,Batu Caves,Tampin,2,Batu Caves-Tampin,Weekday,Batu Caves-Tampin,1/1/1900 19:00,Batu Caves,19:05,Taman Wahyu,19:10,Kepong,19:15,Batu Kentonmen,19:20,KL Sentral,19:25,Abdullah Hukum,19:30,Bank Negara,19:35,Sentul,19:40,Mid Valley,19:45,Bandar Tasik Selatan,19:50,Serdang,19:55,Kajang,20:00,Bangi,20:05,Nilai,20:10,Batang Benar,20:15,Seremban,20:20,Tampin,17
3/1/2025,1/1/1900 19:00,Tampin,Batu Caves,1,Tampin-Batu Caves,Weekday,Tampin-Batu Caves,1/1/1900 19:00,Tampin,19:05,Seremban,19:10,Batang Benar,19:15,Nilai,19:20,Bangi,19:25,Kajang,19:30,Serdang,19:35,Bandar Tasik Selatan,19:40,Mid Valley,19:45,Sentul,19:50,Bank Negara,19:55,Abdullah Hukum,20:00,KL Sentral,20:05,Batu Kentonmen,20:10,Kepong,20:15,Taman Wahyu,20:20,Batu Caves,17
4/1/2025,1/1/1900 6:00,Tampin,Batu Caves,2,Tampin-Batu Caves,Weekend,Tampin-Batu Caves,1/1/1900 6:00,Tampin,6:10,Seremban,6:15,Batang Benar,6:20,Nilai,6:25,Bangi,6:30,Kajang,6:35,Serdang,6:40,Bandar Tasik Selatan,6:45,Mid Valley,6:50,Sentul,6:55,Bank Negara,7:00,Abdullah Hukum,7:05,KL Sentral,7:10,Batu Kentonmen,7:15,Kepong,7:20,Taman Wahyu,7:25,Batu Caves,17
4/1/2025,1/1/1900 11:00,Tampin,Batu Caves,1,Tampin-Batu Caves,Weekend,Tampin-Batu Caves,1/1/1900 11:00,Tampin,16:10,Seremban,16:15,Batang Benar,16:20,Nilai,16:25,Bangi,16:30,Kajang,16:35,Serdang,16:40,Bandar Tasik Selatan,16:45,Mid Valley,16:50,Sentul,16:55,Bank Negara,17:00,Abdullah Hukum,17:05,KL Sentral,17:10,Batu Kentonmen,17:15,Kepong,17:20,Taman Wahyu,17:25,Batu Caves,17
4/1/2025,1/1/1900 13:00,Batu Caves,Tampin,2,Batu Caves-Tampin,Weekend,Batu Caves-Tampin,1/1/1900 13:00,Batu Caves,20:10,Taman Wahyu,20:15,Kepong,20:20,Batu Kentonmen,20:25,KL Sentral,20:30,Abdullah Hukum,20:35,Bank Negara,20:40,Sentul,20:45,Mid Valley,20:50,Bandar Tasik Selatan,20:55,Serdang,21:00,Kajang,21:05,Bangi,21:10,Nilai,21:15,Batang Benar,21:20,Seremban,21:25,Tampin,17
4/1/2025,1/1/1900 17:00,Tanjong Malim,Pelabuhan Klang,1,Tanjong Malim-Pelabuhan Klang,Weekend,Tanjong Malim-Pelabuhan Klang,1/1/1900 17:00,Tanjung Malim,11:10,Kuala Kubu Bharu,11:15,Rawang,11:20,Kuang,11:25,Sungai Buloh,11:30,Kepong Sentral,11:35,KL Sentral,11:40,Kuala Lumpur,11:45,Bank Negara,11:50,Putra,11:55,Kampung Batu,12:00,Kampung Baru,12:05,Pelabuhan Klang,,,,,,,,,13
4/1/2025,1/1/1900 18:00,Pelabuhan Klang,Tanjong Malim,1,Pelabuhan Klang-Tanjong Malim,Weekend,Pelabuhan Klang-Tanjong Malim,1/1/1900 18:00,Pelabuhan Klang,13:10,Kampung Baru,13:15,Kampung Batu,13:20,Putra,13:25,Bank Negara,13:30,Kuala Lumpur,13:35,KL Sentral,13:40,Kepong Sentral,13:45,Sungai Buloh,13:50,Kuang,13:55,Rawang,14:00,Kuala Kubu Bharu,14:05,Tanjung Malim,,,,,,,,,13
5/1/2025,1/1/1900 6:00,Tampin,Batu Caves,3,Tampin-Batu Caves,Weekend,Tampin-Batu Caves,1/1/1900 6:00,Tampin,6:10,Seremban,6:15,Batang Benar,6:20,Nilai,6:25,Bangi,6:30,Kajang,6:35,Serdang,6:40,Bandar Tasik Selatan,6:45,Mid Valley,6:50,Sentul,6:55,Bank Negara,7:00,Abdullah Hukum,7:05,KL Sentral,7:10,Batu Kentonmen,7:15,Kepong,7:20,Taman Wahyu,7:25,Batu Caves,17
5/1/2025,1/1/1900 10:00,Tampin,Batu Caves,2,Tampin-Batu Caves,Weekend,Tampin-Batu Caves,1/1/1900 10:00,Tampin,14:10,Seremban,14:15,Batang Benar,14:20,Nilai,14:25,Bangi,14:30,Kajang,14:35,Serdang,14:40,Bandar Tasik Selatan,14:45,Mid Valley,14:50,Sentul,14:55,Bank Negara,15:00,Abdullah Hukum,15:05,KL Sentral,15:10,Batu Kentonmen,15:15,Kepong,15:20,Taman Wahyu,15:25,Batu Caves,17
5/1/2025,1/1/1900 11:00,Tampin,Batu Caves,1,Tampin-Batu Caves,Weekend,Tampin-Batu Caves,1/1/1900 11:00,Tampin,16:10,Seremban,16:15,Batang Benar,16:20,Nilai,16:25,Bangi,16:30,Kajang,16:35,Serdang,16:40,Bandar Tasik Selatan,16:45,Mid Valley,16:50,Sentul,16:55,Bank Negara,17:00,Abdullah Hukum,17:05,KL Sentral,17:10,Batu Kentonmen,17:15,Kepong,17:20,Taman Wahyu,17:25,Batu Caves,17
5/1/2025,1/1/1900 12:00,Batu Caves,Tampin,1,Batu Caves-Tampin,Weekend,Batu Caves-Tampin,1/1/1900 12:00,Batu Caves,18:10,Taman Wahyu,18:15,Kepong,18:20,Batu Kentonmen,18:25,KL Sentral,18:30,Abdullah Hukum,18:35,Bank Negara,18:40,Sentul,18:45,Mid Valley,18:50,Bandar Tasik Selatan,18:55,Serdang,19:00,Kajang,19:05,Bangi,19:10,Nilai,19:15,Batang Benar,19:20,Seremban,19:25,Tampin,17
5/1/2025,1/1/1900 12:00,Tampin,Batu Caves,1,Tampin-Batu Caves,Weekend,Tampin-Batu Caves,1/1/1900 12:00,Tampin,18:10,Seremban,18:15,Batang Benar,18:20,Nilai,18:25,Bangi,18:30,Kajang,18:35,Serdang,18:40,Bandar Tasik Selatan,18:45,Mid Valley,18:50,Sentul,18:55,Bank Negara,19:00,Abdullah Hukum,19:05,KL Sentral,19:10,Batu Kentonmen,19:15,Kepong,19:20,Taman Wahyu,19:25,Batu Caves,17
5/1/2025,1/1/1900 14:00,Batu Caves,Tampin,2,Batu Caves-Tampin,Weekend,Batu Caves-Tampin,1/1/1900 14:00,Batu Caves,22:10,Taman Wahyu,22:15,Kepong,22:20,Batu Kentonmen,22:25,KL Sentral,22:30,Abdullah Hukum,22:35,Bank Negara,22:40,Sentul,22:45,Mid Valley,22:50,Bandar Tasik Selatan,22:55,Serdang,23:00,Kajang,23:05,Bangi,23:10,Nilai,23:15,Batang Benar,23:20,Seremban,23:25,Tampin,17
6/1/2025,1/1/1900 6:00,Tampin,Batu Caves,13,Tampin-Batu Caves,Weekday,Tampin-Batu Caves,1/1/1900 6:00,Tampin,6:05,Seremban,6:10,Batang Benar,6:15,Nilai,6:20,Bangi,6:25,Kajang,6:30,Serdang,6:35,Bandar Tasik Selatan,6:40,Mid Valley,6:45,Sentul,6:50,Bank Negara,6:55,Abdullah Hukum,7:00,KL Sentral,7:05,Batu Kentonmen,7:10,Kepong,7:15,Taman Wahyu,7:20,Batu Caves,17
6/1/2025,1/1/1900 9:00,Pelabuhan Klang,Tanjong Malim,1,Pelabuhan Klang-Tanjong Malim,Weekday,Pelabuhan Klang-Tanjong Malim,1/1/1900 9:00,Pelabuhan Klang,9:05,Kampung Baru,9:10,Kampung Batu,9:15,Putra,9:20,Bank Negara,9:25,Kuala Lumpur,9:30,KL Sentral,9:35,Kepong Sentral,9:40,Sungai Buloh,9:45,Kuang,9:50,Rawang,9:55,Kuala Kubu Bharu,10:00,Tanjung Malim,,,,,,,,,13
6/1/2025,1/1/1900 10:00,Pelabuhan Klang,Tanjong Malim,2,Pelabuhan Klang-Tanjong Malim,Weekday,Pelabuhan Klang-Tanjong Malim,1/1/1900 10:00,Pelabuhan Klang,10:05,Kampung Baru,10:10,Kampung Batu,10:15,Putra,10:20,Bank Negara,10:25,Kuala Lumpur,10:30,KL Sentral,10:35,Kepong Sentral,10:40,Sungai Buloh,10:45,Kuang,10:50,Rawang,10:55,Kuala Kubu Bharu,11:00,Tanjung Malim,,,,,,,,,13
6/1/2025,1/1/1900 13:00,Batu Caves,Tampin,14,Batu Caves-Tampin,Weekday,Batu Caves-Tampin,1/1/1900 13:00,Batu Caves,13:05,Taman Wahyu,13:10,Kepong,13:15,Batu Kentonmen,13:20,KL Sentral,13:25,Abdullah Hukum,13:30,Bank Negara,13:35,Sentul,13:40,Mid Valley,13:45,Bandar Tasik Selatan,13:50,Serdang,13:55,Kajang,14:00,Bangi,14:05,Nilai,14:10,Batang Benar,14:15,Seremban,14:20,Tampin,17
6/1/2025,1/1/1900 16:00,Tampin,Batu Caves,2,Tampin-Batu Caves,Weekday,Tampin-Batu Caves,1/1/1900 16:00,Tampin,16:05,Seremban,16:10,Batang Benar,16:15,Nilai,16:20,Bangi,16:25,Kajang,16:30,Serdang,16:35,Bandar Tasik Selatan,16:40,Mid Valley,16:45,Sentul,16:50,Bank Negara,16:55,Abdullah Hukum,17:00,KL Sentral,17:05,Batu Kentonmen,17:10,Kepong,17:15,Taman Wahyu,17:20,Batu Caves,17
7/1/2025,1/1/1900 10:00,Tampin,Batu Caves,1,Tampin-Batu Caves,Weekday,Tampin-Batu Caves,1/1/1900 10:00,Tampin,10:05,Seremban,10:10,Batang Benar,10:15,Nilai,10:20,Bangi,10:25,Kajang,10:30,Serdang,10:35,Bandar Tasik Selatan,10:40,Mid Valley,10:45,Sentul,10:50,Bank Negara,10:55,Abdullah Hukum,11:00,KL Sentral,11:05,Batu Kentonmen,11:10,Kepong,11:15,Taman Wahyu,11:20,Batu Caves,17
7/1/2025,1/1/1900 13:00,Batu Caves,Tampin,2,Batu Caves-Tampin,Weekday,Batu Caves-Tampin,1/1/1900 13:00,Batu Caves,13:05,Taman Wahyu,13:10,Kepong,13:15,Batu Kentonmen,13:20,KL Sentral,13:25,Abdullah Hukum,13:30,Bank Negara,13:35,Sentul,13:40,Mid Valley,13:45,Bandar Tasik Selatan,13:50,Serdang,13:55,Kajang,14:00,Bangi,14:05,Nilai,14:10,Batang Benar,14:15,Seremban,14:20,Tampin,17
7/1/2025,1/1/1900 14:00,Batu Caves,Tampin,1,Batu Caves-Tampin,Weekday,Batu Caves-Tampin,1/1/1900 14:00,Batu Caves,14:05,Taman Wahyu,14:10,Kepong,14:15,Batu Kentonmen,14:20,KL Sentral,14:25,Abdullah Hukum,14:30,Bank Negara,14:35,Sentul,14:40,Mid Valley,14:45,Bandar Tasik Selatan,14:50,Serdang,14:55,Kajang,15:00,Bangi,15:05,Nilai,15:10,Batang Benar,15:15,Seremban,15:20,Tampin,17
7/1/2025,1/1/1900 14:00,Tampin,Batu Caves,1,Tampin-Batu Caves,Weekday,Tampin-Batu Caves,1/1/1900 14:00,Tampin,14:05,Seremban,14:10,Batang Benar,14:15,Nilai,14:20,Bangi,14:25,Kajang,14:30,Serdang,14:35,Bandar Tasik Selatan,14:40,Mid Valley,14:45,Sentul,14:50,Bank Negara,14:55,Abdullah Hukum,15:00,KL Sentral,15:05,Batu Kentonmen,15:10,Kepong,15:15,Taman Wahyu,15:20,Batu Caves,17
